"HostOrder","Domestic","Year","Discovered","Virus","VRichness","VirusCumulative","yearx","mean","sd","q0.025","median","q0.975","smin","smax","cv","var","model"
"Cetartiodactyla",FALSE,1930,0,"NA",256,0,1,0.155805843762311,0.0588433990346814,0.0726174781511618,0.144402797842633,0.298494144258748,0.0445834187506205,0.442791050126509,0.377671322292954,0.00346254560995474,"1930"
"Cetartiodactyla",FALSE,1931,0,"NA",256,0,2,0.161481710744198,0.0599809462619235,0.0763140784175457,0.14998470933705,0.307090306416897,0.0470363972486609,0.452112690257166,0.371441112343298,0.00359771391447575,"1930"
"Cetartiodactyla",FALSE,1932,0,"NA",256,0,3,0.16737028475775,0.0611299848389989,0.0801988658115594,0.155820189179992,0.315706258609727,0.0496243385575504,0.461630569617817,0.365237980729241,0.00373687504641623,"1930"
"Cetartiodactyla",FALSE,1933,0,"NA",256,0,4,0.173479748349188,0.0622899986700833,0.0842814211425023,0.162012213764749,0.324190599977334,0.0523546683275044,0.471348819438038,0.359062076483437,0.00388004393431898,"1930"
"Cetartiodactyla",FALSE,1934,1,"Foot-and-mouth disease virus",256,1,5,0.179818606557444,0.0634604280773985,0.0883015533748792,0.168432323615444,0.333113669861388,0.0552352207678131,0.481271657918074,0.352913579369362,0.00402722593176667,"1930"
"Cetartiodactyla",FALSE,1935,0,"NA",256,1,6,0.186395699914112,0.0646406684521659,0.0923569523608129,0.174701518284746,0.34184944253503,0.0582742611257504,0.491403392059753,0.346792702202632,0.00417841601794283,"1930"
"Cetartiodactyla",FALSE,1936,0,"NA",256,1,7,0.19322021797857,0.0658300690216355,0.0971780401605723,0.181578461020272,0.35103378467741,0.0614805094022728,0.501748419535932,0.340699693387866,0.0043335979873933,"1930"
"Cetartiodactyla",FALSE,1937,0,"NA",256,1,8,0.200301713430759,0.0670279317642741,0.102251046021334,0.188445520977444,0.360234032415742,0.0648631653725542,0.512311230599307,0.334634839693693,0.00449274363659619,"1930"
"Cetartiodactyla",FALSE,1938,0,"NA",256,1,9,0.207650116745047,0.0682335105105314,0.107588879565007,0.195635553654551,0.369237413521922,0.0684319349831507,0.523096410031403,0.328598469291056,0.0046558119565908,"1930"
"Cetartiodactyla",FALSE,1939,0,"NA",256,1,10,0.215275751469618,0.0694460102727575,0.113205365697358,0.203132919175811,0.378798895665372,0.0721970582015361,0.534108639132596,0.322590955082828,0.00482274834280394,"1930"
